km_driven,mileage,age,Petrol,Diesel,Electric,fuel_type
100000,16.5,6,0,1,0,Diesel
70000,15.4,8,0,1,0,Diesel
100000,23.08,11,0,1,0,Diesel
80000,17.92,15,1,0,0,Petrol
61348,19.3,8,0,1,0,Diesel
15000,18.7,8,1,0,0,Petrol
49000,17.4,6,1,0,0,Petrol
21800,19.1,8,1,0,0,Petrol
80000,15.0,14,1,0,0,Petrol
72432,18.49,6,0,1,0,Diesel
8500,21.56,4,1,0,0,Petrol
80000,24.3,6,0,1,0,Diesel
100000,24.52,6,0,1,0,Diesel
62000,20.14,8,0,1,0,Diesel
47000,17.0,10,1,0,0,Petrol
40775,23.1,7,1,0,0,Petrol
44000,20.54,10,0,1,0,Diesel
66000,12.35,11,0,1,0,Diesel
119000,14.0,9,0,1,0,Diesel
315000,18.9,13,1,0,0,Petrol
52000,18.9,7,1,0,0,Petrol
58000,12.9,8,0,1,0,Diesel
40000,25.32,7,0,1,0,Diesel
106500,20.0,11,0,1,0,Diesel
120000,14.0,12,0,1,0,Diesel
26026,18.2,6,1,0,0,Petrol
70000,16.11,12,1,0,0,Petrol
33000,23.1,6,1,0,0,Petrol
87000,20.0,13,0,1,0,Diesel
50000,24.52,7,0,1,0,Diesel
15000,19.2,8,0,0,0,Petrol
16000,17.19,5,1,0,0,Petrol
30000,17.8,4,1,0,0,Petrol
82000,13.5,12,0,1,0,Diesel
24099,28.09,5,0,1,0,Diesel
49000,10.91,5,0,1,0,Diesel
20000,22.0,5,0,1,0,Diesel
50000,17.0,11,1,0,0,Petrol
58000,27.39,6,0,1,0,Diesel
71441,17.7,15,1,0,0,Petrol
50000,20.63,6,1,0,0,Petrol
14400,13.96,4,1,0,0,Petrol
30000,14.7,7,1,0,0,Petrol
28025,17.1,6,0,1,0,Diesel
70000,20.36,13,1,0,0,Petrol
40000,24.7,5,0,1,0,Diesel
124000,14.7,11,0,1,0,Diesel
22000,22.74,8,1,0,0,Petrol
69000,22.77,8,0,1,0,Diesel
104433,15.6,13,1,0,0,Petrol
67400,12.55,9,0,1,0,Diesel
63000,21.79,14,1,0,0,Petrol
5209,18.5,10,1,0,0,Petrol
58222,22.32,12,0,1,0,Diesel
110000,25.8,9,0,1,0,Diesel
120000,15.4,6,0,1,0,Diesel
35000,24.0,4,0,1,0,Diesel
35000,20.0,4,1,0,0,Petrol
120000,18.9,17,1,0,0,Petrol
40100,19.0,11,1,0,0,Petrol
50000,19.09,8,0,1,0,Diesel
80000,16.5,6,0,1,0,Diesel
100000,15.1,4,0,1,0,Diesel
12705,21.01,4,1,0,0,Petrol
5945,17.09,3,0,1,0,Diesel
47240,15.1,9,0,1,0,Diesel
40000,16.8,7,1,0,0,Petrol
18000,25.17,6,1,0,0,Petrol
52000,18.6,8,1,0,0,Petrol
7000,22.48,5,0,1,0,Diesel
15000,18.6,5,1,0,0,Petrol
50000,21.21,4,1,0,0,Petrol
105800,20.92,11,1,0,0,Petrol
95904,14.28,7,1,0,0,Petrol
87000,18.9,14,1,0,0,Petrol
11266,20.92,12,1,0,0,Petrol
10000,23.84,4,1,0,0,Petrol
64529,18.6,10,1,0,0,Petrol
110000,23.4,6,0,1,0,Diesel
133000,20.45,9,0,1,0,Diesel
30000,17.0,6,1,0,0,Petrol
23211,23.9,6,0,1,0,Diesel
60000,16.0,12,1,0,0,Petrol
44000,12.3,14,1,0,0,Petrol
8700,21.63,3,1,0,0,Petrol
12120,16.8,4,1,0,0,Petrol
63000,16.07,13,0,1,0,Diesel
62000,13.68,6,0,1,0,Diesel
83000,16.1,15,1,0,0,Petrol
59839,14.0,11,0,1,0,Diesel
27000,17.21,5,1,0,0,Petrol
50000,26.59,8,0,1,0,Diesel
22809,25.1,4,0,1,0,Diesel
10000,23.7,3,0,1,0,Diesel
22000,21.5,4,1,0,0,Petrol
40000,20.5,10,0,1,0,Diesel
70000,24.0,10,0,1,0,Diesel
33794,18.6,8,1,0,0,Petrol
10000,23.01,5,1,0,0,Petrol
54000,17.4,13,1,0,0,Petrol
76000,22.9,11,0,1,0,Diesel
57468,17.97,8,1,0,0,Petrol
90000,21.43,11,0,1,0,Diesel
16000,17.0,4,1,0,0,Petrol
86300,25.5,6,0,1,0,Diesel
120000,22.1,11,0,1,0,Diesel
61000,15.8,9,1,0,0,Petrol
56393,22.77,7,0,1,0,Diesel
29000,28.4,6,0,1,0,Diesel
120000,23.59,8,0,1,0,Diesel
25000,19.0,5,1,0,0,Petrol
80000,19.0,8,0,0,0,Petrol
13000,15.04,5,1,0,0,Petrol
33000,17.5,5,1,0,0,Petrol
100000,18.6,9,1,0,0,Petrol
82465,17.8,13,0,1,0,Diesel
60000,13.8,18,1,0,0,Petrol
54111,19.81,8,1,0,0,Petrol
25000,24.3,6,0,1,0,Diesel
1000,15.81,3,1,0,0,Petrol
96000,22.32,11,0,1,0,Diesel
15000,22.27,4,0,1,0,Diesel
50000,28.4,6,0,1,0,Diesel
27500,20.51,6,1,0,0,Petrol
60000,20.51,8,1,0,0,Petrol
78000,14.21,14,0,1,0,Diesel
55000,22.07,11,0,1,0,Diesel
130000,17.0,12,1,0,0,Petrol
33860,20.51,8,1,0,0,Petrol
73000,20.36,9,1,0,0,Petrol
40000,21.63,8,1,0,0,Petrol
50000,14.7,6,1,0,0,Petrol
26000,110.0,5,0,0,1,Electric
15000,25.17,6,1,0,0,Petrol
12000,23.84,4,1,0,0,Petrol
42000,25.44,11,0,1,0,Diesel
72000,21.1,8,0,1,0,Diesel
20000,17.0,4,0,1,0,Diesel
51000,26.6,7,0,0,0,Petrol
35000,19.7,16,1,0,0,Petrol
40000,28.09,7,0,1,0,Diesel
86900,19.3,9,0,1,0,Diesel
60000,17.11,9,0,1,0,Diesel
27930,18.2,16,1,0,0,Petrol
45788,20.0,10,0,1,0,Diesel
35000,16.0,7,0,1,0,Diesel
40000,17.5,5,1,0,0,Petrol
20365,20.51,8,1,0,0,Petrol
60000,14.4,14,0,1,0,Diesel
55000,32.52,7,0,0,0,Petrol
33000,17.2,5,0,1,0,Diesel
120000,13.6,17,0,1,0,Diesel
134213,12.55,11,0,1,0,Diesel
28000,20.65,6,0,1,0,Diesel
220000,20.86,13,0,1,0,Diesel
60000,17.71,10,1,0,0,Petrol
52132,23.2,10,0,1,0,Diesel
49000,22.74,8,1,0,0,Petrol
51524,16.0,6,0,1,0,Diesel
168986,17.6,12,1,0,0,Petrol
60000,24.3,6,0,1,0,Diesel
50000,19.67,6,0,1,0,Diesel
80000,15.4,8,0,1,0,Diesel
65000,19.01,9,0,1,0,Diesel
5000,24.7,4,1,0,0,Petrol
48000,19.0,6,1,0,0,Petrol
5600,19.0,4,1,0,0,Petrol
185000,20.54,11,0,1,0,Diesel
20500,24.3,4,0,1,0,Diesel
120000,12.8,11,0,1,0,Diesel
15000,23.01,6,1,0,0,Petrol
140000,23.4,5,0,1,0,Diesel
71255,19.01,6,0,1,0,Diesel
15000,17.6,4,0,1,0,Diesel
45000,19.02,8,1,0,0,Petrol
40000,21.21,5,1,0,0,Petrol
25000,28.4,6,0,1,0,Diesel
200000,12.8,16,0,1,0,Diesel
65000,14.53,13,1,0,0,Petrol
49454,18.5,11,1,0,0,Petrol
34996,19.4,6,1,0,0,Petrol
22251,22.0,5,1,0,0,Petrol
44000,25.8,8,0,1,0,Diesel
25000,17.01,7,1,0,0,Petrol
20000,15.4,4,0,1,0,Diesel
83000,11.3,15,1,0,0,Petrol
35000,14.49,13,1,0,0,Petrol
110000,22.7,10,0,1,0,Diesel
48001,21.38,6,0,1,0,Diesel
70000,23.1,7,1,0,0,Petrol
58000,17.1,12,1,0,0,Petrol
11800,17.43,6,1,0,0,Petrol
52000,19.59,6,0,1,0,Diesel
35000,17.4,9,1,0,0,Petrol
20000,22.69,6,0,1,0,Diesel
104473,15.7,13,1,0,0,Petrol
31600,21.4,7,1,0,0,Petrol
46000,10.93,12,1,0,0,Petrol
47000,17.21,6,1,0,0,Petrol
73172,22.15,7,0,1,0,Diesel
40000,18.9,12,1,0,0,Petrol
20000,23.95,4,1,0,0,Petrol
65000,17.0,14,1,0,0,Petrol
33000,13.0,8,0,1,0,Diesel
70462,21.21,9,0,1,0,Diesel
62257,21.0,7,0,1,0,Diesel
78000,17.21,7,1,0,0,Petrol
20000,15.0,7,0,1,0,Diesel
45075,22.74,9,1,0,0,Petrol
19000,21.21,5,1,0,0,Petrol
45000,17.4,11,1,0,0,Petrol
13572,21.66,7,0,1,0,Diesel
10000,23.95,4,1,0,0,Petrol
21000,15.73,5,0,1,0,Diesel
50000,17.57,8,1,0,0,Petrol
55000,20.34,10,0,1,0,Diesel
74000,17.0,9,1,0,0,Petrol
34000,18.9,7,1,0,0,Petrol
70000,17.21,11,0,1,0,Diesel
50000,16.2,11,0,1,0,Diesel
64579,14.1,7,0,1,0,Diesel
50000,19.87,6,0,1,0,Diesel
82000,17.9,13,0,1,0,Diesel
38000,19.81,8,1,0,0,Petrol
5000,21.63,5,1,0,0,Petrol
38000,21.4,5,1,0,0,Petrol
88000,20.0,9,0,1,0,Diesel
58000,20.73,6,1,0,0,Petrol
83000,16.6,17,1,0,0,Petrol
74840,20.77,10,0,1,0,Diesel
23000,23.84,4,1,0,0,Petrol
70000,28.4,6,0,1,0,Diesel
35000,25.4,4,0,1,0,Diesel
46001,14.21,12,0,1,0,Diesel
35000,19.0,13,1,0,0,Petrol
54000,15.17,8,0,1,0,Diesel
105000,25.8,9,0,1,0,Diesel
24000,24.12,11,1,0,0,Petrol
120000,15.73,11,0,1,0,Diesel
61200,14.53,9,1,0,0,Petrol
127357,27.3,8,0,1,0,Diesel
74500,21.1,12,0,1,0,Diesel
72168,20.14,7,0,1,0,Diesel
30000,17.0,5,1,0,0,Petrol
53000,16.05,7,1,0,0,Petrol
92000,11.0,16,0,1,0,Diesel
27500,17.7,8,1,0,0,Petrol
215000,17.8,12,0,1,0,Diesel
19000,17.5,5,1,0,0,Petrol
20000,19.56,6,1,0,0,Petrol
49083,20.45,11,0,1,0,Diesel
18000,17.5,4,1,0,0,Petrol
90000,18.1,11,0,1,0,Diesel
76416,25.83,8,0,1,0,Diesel
123000,22.9,11,0,1,0,Diesel
40000,17.19,5,1,0,0,Petrol
100000,23.4,9,0,1,0,Diesel
25000,28.4,6,0,1,0,Diesel
5730,17.4,7,1,0,0,Petrol
16502,16.5,4,1,0,0,Petrol
20000,25.0,12,0,1,0,Diesel
16000,17.4,5,1,0,0,Petrol
50000,21.19,7,0,1,0,Diesel
65000,18.2,15,1,0,0,Petrol
165000,13.5,11,0,1,0,Diesel
39000,16.09,10,0,1,0,Diesel
80000,23.57,12,0,1,0,Diesel
110000,22.32,12,0,1,0,Diesel
38546,20.51,8,1,0,0,Petrol
18000,17.21,6,1,0,0,Petrol
52000,17.68,9,0,1,0,Diesel
90000,18.6,9,1,0,0,Petrol
78000,16.95,12,1,0,0,Petrol
50000,22.1,10,0,1,0,Diesel
51000,24.3,7,0,1,0,Diesel
47000,18.0,8,1,0,0,Petrol
45000,19.59,7,0,1,0,Diesel
51010,14.7,14,1,0,0,Petrol
60000,19.7,16,1,0,0,Petrol
21000,25.6,4,0,1,0,Diesel
19000,17.9,5,0,1,0,Diesel
87000,19.16,7,1,0,0,Petrol
70175,21.27,10,0,1,0,Diesel
70000,19.01,9,0,1,0,Diesel
50000,17.01,10,1,0,0,Petrol
101271,22.9,10,0,1,0,Diesel
19000,20.51,6,1,0,0,Petrol
20000,17.9,5,0,1,0,Diesel
43000,18.59,5,0,1,0,Diesel
43000,20.51,11,1,0,0,Petrol
32967,16.2,7,1,0,0,Petrol
171000,25.1,9,0,1,0,Diesel
29500,16.1,11,1,0,0,Petrol
45280,17.5,6,0,0,0,Petrol
70000,18.06,12,1,0,0,Petrol
71000,22.54,12,0,1,0,Diesel
7120,18.6,3,1,0,0,Petrol
